"brutto","bruttoMonthly","term","medicare","oldAge","disability","unemployment","solidarityFund","socAll","health","fixedExpenses","nonTaxable","taxBase1","taxBase","incomeTax19","incomeTax25","netto","nettoMonthly"
56500,4708.33333333333,12,2486,10170,3390,1130,2683.75,19859.75,7910,20000,3803.33,8730.25,4926.92,936.1148,0,27794.1352,2316.17793333333
57000,4750,12,2508,10260,3420,1140,2707.5,20035.5,7980,20000,3803.33,8984.5,5181.17,984.4223,0,28000.0777,2333.33980833333
57500,4791.66666666667,12,2530,10350,3450,1150,2731.25,20211.25,8050,20000,3803.33,9238.75,5435.42,1032.7298,0,28206.0202,2350.50168333333
58000,4833.33333333333,12,2552,10440,3480,1160,2755,20387,8120,20000,3803.33,9493,5689.67,1081.0373,0,28411.9627,2367.66355833333
58500,4875,12,2574,10530,3510,1170,2778.75,20562.75,8190,20000,3803.33,9747.25,5943.92,1129.3448,0,28617.9052,2384.82543333333
59000,4916.66666666667,12,2596,10620,3540,1180,2802.5,20738.5,8260,20000,3803.33,10001.5,6198.17,1177.6523,0,28823.8477,2401.98730833333
59500,4958.33333333333,12,2618,10710,3570,1190,2826.25,20914.25,8330,20000,3803.33,10255.75,6452.42,1225.9598,0,29029.7902,2419.14918333333
60000,5000,12,2640,10800,3600,1200,2850,21090,8400,20000,3803.33,10510,6706.67,1274.2673,0,29235.7327,2436.31105833333
60500,5041.66666666667,12,2662,10890,3630,1210,2873.75,21265.75,8470,20000,3803.33,10764.25,6960.92,1322.5748,0,29441.6752,2453.47293333333
61000,5083.33333333333,12,2684,10980,3660,1220,2897.5,21441.5,8540,20000,3803.33,11018.5,7215.17,1370.8823,0,29647.6177,2470.63480833333
61500,5125,12,2706,11070,3690,1230,2921.25,21617.25,8610,20000,3803.33,11272.75,7469.42,1419.1898,0,29853.5602,2487.79668333333
62000,5166.66666666667,12,2728,11160,3720,1240,2945,21793,8680,20000,3803.33,11527,7723.67,1467.4973,0,30059.5027,2504.95855833333
62500,5208.33333333333,12,2750,11250,3750,1250,2968.75,21968.75,8750,20000,3803.33,11781.25,7977.92,1515.8048,0,30265.4452,2522.12043333333
63000,5250,12,2772,11340,3780,1260,2992.5,22144.5,8820,20000,3803.33,12035.5,8232.17,1564.1123,0,30471.3877,2539.28230833333
63500,5291.66666666667,12,2794,11430,3810,1270,3016.25,22320.25,8890,20000,3803.33,12289.75,8486.42,1612.4198,0,30677.3302,2556.44418333333
64000,5333.33333333333,12,2816,11520,3840,1280,3040,22496,8960,20000,3803.33,12544,8740.67,1660.7273,0,30883.2727,2573.60605833333
64500,5375,12,2838,11610,3870,1290,3063.75,22671.75,9030,20000,3803.33,12798.25,8994.92,1709.0348,0,31089.2152,2590.76793333333
65000,5416.66666666667,12,2860,11700,3900,1300,3087.5,22847.5,9100,20000,3803.33,13052.5,9249.17,1757.3423,0,31295.1577,2607.92980833333
65500,5458.33333333333,12,2882,11790,3930,1310,3111.25,23023.25,9170,20000,3803.33,13306.75,9503.42,1805.6498,0,31501.1002,2625.09168333333
66000,5500,12,2904,11880,3960,1320,3135,23199,9240,20000,3803.33,13561,9757.67,1853.9573,0,31707.0427,2642.25355833333
66500,5541.66666666667,12,2926,11970,3990,1330,3158.75,23374.75,9310,20000,3803.33,13815.25,10011.92,1902.2648,0,31912.9852,2659.41543333333
67000,5583.33333333333,12,2948,12060,4020,1340,3182.5,23550.5,9380,20000,3803.33,14069.5,10266.17,1950.5723,0,32118.9277,2676.57730833333
67500,5625,12,2970,12150,4050,1350,3206.25,23726.25,9450,20000,3803.33,14323.75,10520.42,1998.8798,0,32324.8702,2693.73918333333
68000,5666.66666666667,12,2992,12240,4080,1360,3230,23902,9520,20000,3803.33,14578,10774.67,2047.1873,0,32530.8127,2710.90105833333
68500,5708.33333333333,12,3014,12330,4110,1370,3253.75,24077.75,9590,20000,3803.33,14832.25,11028.92,2095.4948,0,32736.7552,2728.06293333333
69000,5750,12,3036,12420,4140,1380,3277.5,24253.5,9660,20000,3803.33,15086.5,11283.17,2143.8023,0,32942.6977,2745.22480833333
69500,5791.66666666667,12,3058,12510,4170,1390,3301.25,24429.25,9730,20000,3803.33,15340.75,11537.42,2192.1098,0,33148.6402,2762.38668333333
70000,5833.33333333333,12,3080,12600,4200,1400,3325,24605,9800,20000,3803.33,15595,11791.67,2240.4173,0,33354.5827,2779.54855833333
70500,5875,12,3102,12690,4230,1410,3348.75,24780.75,9870,20000,3803.33,15849.25,12045.92,2288.7248,0,33560.5252,2796.71043333333
71000,5916.66666666667,12,3124,12780,4260,1420,3372.5,24956.5,9940,20000,3803.33,16103.5,12300.17,2337.0323,0,33766.4677,2813.87230833333
71500,5958.33333333333,12,3146,12870,4290,1430,3396.25,25132.25,10010,20000,3803.33,16357.75,12554.42,2385.3398,0,33972.4102,2831.03418333333
72000,6000,12,3168,12960,4320,1440,3420,25308,10080,20000,3803.33,16612,12808.67,2433.6473,0,34178.3527,2848.19605833333
72500,6041.66666666667,12,3190,13050,4350,1450,3443.75,25483.75,10150,20000,3803.33,16866.25,13062.92,2481.9548,0,34384.2952,2865.35793333333
